62 42 79 66 49 67 63 88 15 20 
12 66 87 19 5 93 14 98 79 94 
93 50 65 82 70 79 42 63 76 78 
79 61 44 52 35 5 77 47 49 4 
78 47 25 61 2 91 58 20 48 30 
55 56 98 48 75 16 96 6 16 26 
3 31 100 18 86 41 12 94 57 19 
23 72 80 28 66 35 99 50 58 76 
38 36 69 58 95 2 68 35 81 0 
28 83 81 51 28 77 38 97 97 48 
26 42 16 73 74 12 4 19 93 66 
2 33 72 20 66 68 70 12 34 72 
36 32 27 24 38 49 52 99 57 5 
24 21 18 68 87 91 84 87 84 69 
62 53 85 83 29 10 82 9 78 81 
54 63 33 38 34 82 66 45 10 76 
57 13 41 35 66 83 26 59 14 85 
33 20 62 77 61 92 37 37 22 3 
55 92 77 92 18 14 73 55 76 79 
94 20 21 7 100 36 84 23 9 68 
58 65 69 92 64 80 55 100 13 59 
94 80 82 63 55 45 88 73 10 22 
52 99 29 88 2 14 64 8 56 48 
45 55 27 45 81 69 7 86 85 80 
67 91 7 63 90 6 56 67 100 91 
88 77 47 26 54 37 91 24 59 48 
79 76 23 3 9 100 44 76 14 34 
77 22 22 60 88 90 53 81 95 37 
30 52 0 61 82 96 11 31 9 5 
97 89 77 93 72 59 41 85 80 93 
5 77 21 61 29 9 75 34 43 25 
51 8 33 62 51 74 48 87 12 22 
43 86 30 89 40 92 40 10 8 59 
24 3 99 69 20 80 81 54 96 83 
74 70 2 20 23 89 54 93 64 17 
62 79 66 51 90 75 31 40 72 64 
42 97 58 39 54 0 67 18 90 4 
52 60 98 25 4 19 35 66 68 93 
13 9 43 59 2 57 33 68 36 60 
91 2 64 37 77 90 27 43 79 23 
89 48 2 69 36 63 47 51 93 87 
70 44 97 6 21 37 8 72 63 45 
13 91 1 83 45 27 49 92 30 27 
24 27 61 50 6 27 23 19 4 11 
13 59 50 72 94 89 40 78 46 23 
53 75 74 35 44 48 3 34 17 72 
44 8 37 83 2 53 83 91 20 82 
29 53 2 16 42 8 0 42 37 4 
23 64 24 40 70 77 27 48 91 1 
66 86 75 77 89 73 78 53 8 36 
0 27 52 76 28 80 99 15 22 31 
17 75 42 49 54 62 66 20 19 91 
78 56 68 10 56 70 87 54 23 77 
77 70 76 27 0 82 93 68 71 45 
5 11 36 19 48 59 92 83 96 88 
47 31 98 22 56 5 20 18 20 73 
98 46 81 18 58 75 23 35 89 86 
84 63 8 76 71 69 81 20 77 17 
62 25 28 12 59 14 33 55 39 77 
58 22 19 16 60 -1
